leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Reynolds,A2.9-2947,Ireland,IRE,205,albert,reynolds,
Bruton,A2.9-2950,Ireland,IRE,205,john,bruton,
Ahern,A2.9-2953,Ireland,IRE,205,bertie,ahern,
B. Cowen,A3.0-42,Ireland,IRE,205,brian,cowen,
E. Kenny,A3.0-43,Ireland,IRE,205,enda,kenny,
Varadkar,se-205-1,Ireland,IRE,205,leo,varadkar,
Lubbers,A2.9-3046,Netherlands,NTH,210,ruud,lubbers,
Kok,A2.9-3049,Netherlands,NTH,210,wim,kok,
Jan Peter Balkenende,A2.9-3052,Netherlands,NTH,210,jan peter,balkenende,
M. Rutte,A3.0-44,Netherlands,NTH,210,mark,rutte,
Martens,A2.9-3202,Belgium,BEL,211,wilfried,martens,
Dehaene,A2.9-3205,Belgium,BEL,211,jena-luc,dehaene,
Verhofstadt,A2.9-3208,Belgium,BEL,211,guy,verhofstadt,
Leterme,A3.0-45,Belgium,BEL,211,yves,leterme,
van Rompuy,A3.0-46,Belgium,BEL,211,herman,van rompuy,
Leterme,A3.0-47,Belgium,BEL,211,yves,leterme,
Di Rupo,A3.0-48,Belgium,BEL,211,elio,di rupo,
Charles Michel,cb-211-1,Belgium,BEL,211,charles,michel,
Santer,A2.9-3262,Luxembourg,LUX,212,jacques,santer,
Juncker,A2.9-3265,Luxembourg,LUX,212,jean-claude,junker,jean claude junker
Bettel,cb-212-1,Luxembourg,LUX,212,xavier,betttel,
Mitterand,A2.9-3613,France,FRN,220,francois,mitterand,
Chirac,A2.9-3616,France,FRN,220,jacques,chirac,
Sarkozy,A3.0-49,France,FRN,220,nicolas,sarkozy,
Hollande,cb-220-1,France,FRN,220,francois,hollande,
Macron,se-220-2,France,FRN,220,emmanuel,macron,
Felber,A2.9-3970,Switzerland,SWZ,225,rene,felber,
Ogi,A2.9-3973,Switzerland,SWZ,225,adolf,ogi,
Stich,A2.9-3976,Switzerland,SWZ,225,otto,stich,
Villiger,A2.9-3979,Switzerland,SWZ,225,kaspar,villiger,
Delamuraz,A2.9-3982,Switzerland,SWZ,225,jean-pascal,delamuraz,
Koller,A2.9-3985,Switzerland,SWZ,225,arnold,koller,
Cotti,A2.9-3988,Switzerland,SWZ,225,flavio,cotti,
Dreifuss,A2.9-3991,Switzerland,SWZ,225,ruth,dreifuss,
